,title,link
200,Data-Dependent Coresets for Compressing Neural Networks with Applications to Generalization Bounds,https://openreview.net/forum?id=HJfwJ2A5KX
201,InfoBot: Transfer and Exploration via the Information Bottleneck,https://openreview.net/forum?id=rJg8yhAqKm
202,Emerging Disentanglement in Auto-Encoder Based Unsupervised Image Content Transfer,https://openreview.net/forum?id=BylE1205Fm
203,Learning Embeddings into Entropic Wasserstein Spaces,https://openreview.net/forum?id=rJg4J3CqFm
204,Wasserstein Barycenter Model Ensembling,https://openreview.net/forum?id=H1g4k309F7
205,Generalizable Adversarial Training via Spectral Normalization,https://openreview.net/forum?id=Hyx4knR9Ym
206,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,https://openreview.net/forum?id=Bylmkh05KX
207,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks,https://openreview.net/forum?id=rye7knCqK7
208,ProxQuant: Quantized Neural Networks via Proximal Operators,https://openreview.net/forum?id=HyzMyhCcK7
209,Optimal Completion Distillation for Sequence Learning,https://openreview.net/forum?id=rkMW1hRqKX
210,Feature Intertwiner for Object Detection,https://openreview.net/forum?id=SyxZJn05YX
211,Diversity and Depth in Per-Example Routing Models,https://openreview.net/forum?id=BkxWJnC9tX
212,Learning concise representations for regression by evolving networks of trees,https://openreview.net/forum?id=Hke-JhA9Y7
213,Exploration by random network distillation,https://openreview.net/forum?id=H1lJJnR5Ym
214,Hierarchical Generative Modeling for Controllable Speech Synthesis,https://openreview.net/forum?id=rygkk305YQ
215,Generative Question Answering: Learning to Answer the Whole Question,https://openreview.net/forum?id=Bkx0RjA9tX
216,Decoupled Weight Decay Regularization,https://openreview.net/forum?id=Bkg6RiCqY7
217,Probabilistic Recursive Reasoning for Multi-Agent Reinforcement Learning,https://openreview.net/forum?id=rkl6As0cF7
218,Learning to Represent Edits,https://openreview.net/forum?id=BJl6AjC5F7
219,Unsupervised Domain Adaptation for Distance Metric Learning,https://openreview.net/forum?id=BklhAj09K7
220,Bayesian Deep Convolutional Networks with Many Channels are Gaussian Processes,https://openreview.net/forum?id=B1g30j0qF7
221,Efficient Training on Very Large Corpora via Gramian Estimation,https://openreview.net/forum?id=Hke20iA9Y7
222,"A comprehensive, application-oriented study of catastrophic forgetting in DNNs",https://openreview.net/forum?id=BkloRs0qK7
223,Variational Autoencoders with Jointly Optimized Latent Dependency Structure,https://openreview.net/forum?id=SJgsCjCqt7
224,Verification of Non-Linear Specifications for Neural Networks,https://openreview.net/forum?id=HyeFAsRctQ
225,Improving Sequence-to-Sequence Learning via Optimal Transport,https://openreview.net/forum?id=S1xtAjR5tX
226,LEARNING TO PROPAGATE LABELS: TRANSDUCTIVE PROPAGATION NETWORK FOR FEW-SHOT LEARNING,https://openreview.net/forum?id=SyVuRiC5K7
227,Universal Transformers,https://openreview.net/forum?id=HyzdRiR9Y7
228,An Empirical study of Binary Neural Networks' Optimisation,https://openreview.net/forum?id=rJfUCoR5KX
229,A2BCD: Asynchronous Acceleration with Optimal Complexity,https://openreview.net/forum?id=rylIAsCqYm
230,Backpropamine: training self-modifying neural networks with differentiable neuromodulated plasticity,https://openreview.net/forum?id=r1lrAiA5Ym
231,Discovery of Natural Language Concepts in Individual Units of CNNs,https://openreview.net/forum?id=S1EERs09YQ
232,Learning Multi-Level Hierarchies with Hindsight,https://openreview.net/forum?id=ryzECoAcY7
233,ProMP: Proximal Meta-Policy Search,https://openreview.net/forum?id=SkxXCi0qFX
234,Complement Objective Training,https://openreview.net/forum?id=HyM7AiA5YX
235,BabyAI: A Platform to Study the Sample Efficiency of Grounded Language Learning,https://openreview.net/forum?id=rJeXCo0cYX
236,Slimmable Neural Networks,https://openreview.net/forum?id=H1gMCsAqY7
237,Learning Self-Imitating Diverse Policies,https://openreview.net/forum?id=HyxzRsR9Y7
238,Graph HyperNetworks for Neural Architecture Search,https://openreview.net/forum?id=rkgW0oA9FX
239,Deep Layers as Stochastic Solvers,https://openreview.net/forum?id=ryxxCiRqYX
240,ARM: Augment-REINFORCE-Merge Gradient for Stochastic Binary Networks,https://openreview.net/forum?id=S1lg0jAcYm
